TradingDate,CallPut,StrikePrice,Quantity
2021-06-17,P,620,29
2021-06-17,C,622.5,18
2021-06-17,P,622.5,7
2021-06-17,C,625,177
2021-06-17,P,625,2
2021-06-17,C,630,30
2021-06-17,P,630,167
2021-06-17,C,635,12
2021-06-17,P,635,3
2021-06-17,C,640,47
2021-06-17,P,640,12
2021-06-17,C,645,53
2021-06-17,P,645,1
2021-06-17,C,650,300
2021-06-17,P,650,75
2021-06-17,C,655,15
2021-06-17,P,655,20
2021-06-17,C,660,20
2021-06-17,P,660,5
2021-06-17,C,665,80
2021-06-17,P,665,14
2021-06-17,C,670,114
2021-06-17,P,670,12
2021-06-17,C,680,94
2021-06-17,P,680,38
2021-06-17,C,690,135
2021-06-17,P,690,31
2021-06-17,C,700,309
2021-06-17,P,700,24
2021-06-17,C,710,57
2021-06-17,P,710,10
2021-06-17,C,720,2382
2021-06-17,P,720,13
2021-06-17,C,730,67
2021-06-17,P,730,40
2021-06-17,C,740,6289
2021-06-17,P,740,4
2021-06-17,C,750,1261
2021-06-17,P,750,1
2021-06-17,C,760,140
2021-06-17,P,760,0
2021-06-17,C,770,93
2021-06-17,P,770,1
2021-06-17,C,780,38
2021-06-17,P,780,1
2021-06-17,C,790,112
2021-06-17,P,790,0
2021-06-17,C,800,147
2021-06-17,P,800,2
2021-06-17,C,810,11
2021-06-17,P,810,0
2021-06-17,C,820,16
2021-06-17,P,820,1
2021-06-17,C,830,3
2021-06-17,P,830,0
2021-06-17,C,840,9
2021-06-17,P,840,0
2021-06-17,C,850,79
2021-06-17,P,850,0
2021-06-17,C,860,2
2021-06-17,P,860,0
2021-06-17,C,870,11
2021-06-17,P,870,4
2021-06-17,C,880,21
2021-06-17,P,880,0
2021-06-17,C,890,8
2021-06-17,P,890,0
2021-06-17,C,900,48
2021-06-17,P,900,0
2021-06-17,C,910,137
2021-06-17,P,910,0
2021-06-17,C,920,192
2021-06-17,P,920,0
2021-06-17,C,930,256
2021-06-17,P,930,0
2021-06-17,C,940,321
2021-06-17,P,940,0
2021-06-17,C,950,77
2021-06-17,P,950,0
2021-06-17,C,960,211
2021-06-17,P,960,0
2021-06-17,C,970,273
2021-06-17,P,970,0
2021-06-17,C,980,57
2021-06-17,P,980,0
2021-06-17,C,990,161
